pub_date	title	url_slug	venue	excerpt	url	paper_url	citation	slides_url
8/2016	Advancing Robotic Grasp Planning using Human Heuristics for Grasp Similarity	thesis2016Saurabh	Oregon State University	"This thesis explores the use of human kinesthetic input to advance robotic grasp planning. It specifically focuses on identification of human heuristics of grasp similarity by extensive human-subject experiments. This heuristic is then utilized to develop a robust metric for identifying similar robotic grasps. The central hypothesis of this work is to speed up grasp planning and improve the reliability of the planned grasps by using the human heuristic for grasp similarity. Experimental results show that (i) new similar grasps generated from interpolation of human-provided grasps have similar performance (93.75% success rate) compared to original human grasps (97% success rate) and (ii) grasps with similar hand configurations are functionally similar when applied to large regions of everyday objects,  but functionally similar grasp does not necessarily dictate similar hand configuration., Published in AAAI Fall Symposium 2016, https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/37720j09c, "		http://cindygr.github.io/files/.pdf	Saurabh Milind Dixit	
3/2017	Modeling a Spectrum of 3D Printed Materials for Soft Robots	thesis2017Samantha	Oregon State University	"Soft robotics is an emerging field that heavily relies on the ability of 3D printers. The limitations in soft robotics lie in the area of the 3D printers and the predictive models of the printed materials. There are currently no reliable models for optimizing the gradients required to create soft robots. These gradients are necessary to go from soft to hard materials which are used in electronics and soft robotics grips. This is achievable with the soft materials printed by the Stratasys Objet 500 Connex3,  which can print a gradient in materials from hard to soft. Here we show the ability to print a homogeneous gradient on the printer,  characterize these homogeneous materials,  and model the optimized parameters of the nonlinear elastic material model according to techniques based upon Ogden., https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/s4655k29q, "		http://cindygr.github.io/files/.pdf	Samantha Hemleben	
8/2007	Perception Guided Image Manipulation	phd2007rb	Washington University in St. Louis	"Published in APGV (study on depth ordering),  TAP and TOG (subtle gaze direction),  and the Visual Computer (motion and depth ordering of content in images), This dissertation presents a novel approach to image editing and manipulation where the goal is to explicitly trigger certain visual cues. We refer to this as perceptually meaningful image manipulation. Existing image editing approaches typically do not take human visual perception into account,  whereas our approach relies heavily on the principles of human visual perception. We present computer-based techniques for simulating artistic control of apparent depth in an image,  conveying a sense of motion in an image,  and subtly directing a viewer\s gaze about an image. Our techniques combine elements of traditional art with research from various fields of science. Our image-based technique for simulating artistic control of apparent depth works by automatically adjusting color or luminance in specific regions of an image. The color and luminance adjustment is based on several simple rules that artists use to convey and manipulate apparent depth in their work. Our technique for conveying a sense of motion in  a visually static image introduces spatial imprecision in the image plane. This is also patterned after work done by traditional artists. It has been suggested that spatially imprecise stimuli are processed differently by our foveal vision and our peripheral vision  and that this difference in visual processing causes the image to appear to have a dynamic component. Finally,  our subtle gaze directing technique exploits differences in visual acuity  and processing speed between our foveal and peripheral vision. We present brief,  subtle image-space modulations to the low acuity peripheral regions of the ?eld of view. These stimuli,  which are detected quickly,  attract the slower,  high acuity foveal vision to fixate on the modulated regions. "		http://cindygr.github.io/files/.pdf	Reynold Bailey	
12/2006	Comparing Features of Three-Dimensional Object Models using Registration based on Surface Curvature Signatures	phd2007tg	Washington University in St. Louis	"Published in Geometric Modeling and processing,  2006 (feature detection),  International Journal of Shape Modeling,  2006 (comparison of curvature techniques),  and Shape Modeling International,  2005 (comparing local shape using curvature). Source code for curvature techniques is available at <a href=\""http://sourceforge.net/projects/meshprocessing/\"">Sourceforge</a>, This dissertation presents a technique for comparing local shape properties for similar  three-dimensional objects represented by meshes. We develop a shape representation that is sensitive to subtle shape differences but relatively insensitive to noise,  and  use this representation to detect features of the objects. The features are used,  along  with a measure for shape similarity,  to compute a correspondence between the objects,  which then allows shape comparison based on the shape properties at corresponding points. An advantage of this approach is that the final comparisons depend on the similarity-based correspondence and not on a physical three-dimensional alignment. <p>Our novel shape representation,  the curvature map"		http://cindygr.github.io/files/.pdf	Timothy David Gatzke	
8/2012	Modeling Surfaces from Volume Data Using Nonparallel Contours	phd2012ross	Washington University in St. Louis	"Magnetic resonance imaging: MRI) and computed tomography: CT) scanners have long been used to produce three-dimensional samplings of anatomy elements for use in medical visualization and analysis. From such datasets,  physicians often need to construct surfaces representing anatomical shapes in order to conduct treatment,  such as irradiating a tumor. Traditionally,  this is done through a time-consuming and error-prone process in which an experienced scientist or physician marks a series of parallel contours that outline the structures of interest. Recent advances in surface reconstruction algorithms have led to methods for reconstructing surfaces from nonparallel contours that could greatly reduce the manual component of this process. Despite these technological advances,  the segmentation process has remained unchanged.This dissertation takes the first steps toward bridging the gap between the new surface reconstruction technologies and bringing those methods to use in clinical practice. We develop VolumeViewer,  a novel interface for modeling surfaces from volume data by allowing the user to sketch contours on arbitrarily oriented cross-sections of the volume. We design the algorithms necessary to support nonparallel contouring,  and we evaluate the system with medical professionals using actual patient data. In this way,  we begin to understand how nonparallel contouring can aid the segmentation process and expose the challenges associated with a nonparallel contouring system in practice., https://openscholarship.wustl.edu/etd/981/, "		http://cindygr.github.io/files/.pdf	Ross Sowell	
8/2013	Shape Correspondence for Biological Applications	phd2013Ly	Washington University in St. Louis	"With the tremendous amount of data generated by the latest imaging technologies,  research efforts have shifted focus from rendering and reconstructing shapes from raw image data,  to analyzing these shapes. This is especially true in biomedical applications with widespread availability of many non-invasive biological imaging modalities -- ultrasonography,  computed tomography,  magnetic resonance imaging,  etcetera. The insights gained from the analysis of biomedical images can help us understand biological processes,  diagnose diseases and take preventative or remedial action. Examples include the study of an organ that is normally in cyclical motion,  or that of an organ undergoing transformation in the course of normal development,  or deterioration as a result of disease.Many biological studies depend on a reliable means to compare different images or shapes of a similar nature,  and quantify changes in them. A key component in these studies is the accuracy and reliability of the correspondence between shapes. This task is often complicated by the lack of easily identifiable features underpinning the correspondence,  in addition to the inherent difficulties of obtaining high resolution"		http://cindygr.github.io/files/.pdf	Ly Phan	
12/2016	Guided Medical Data Segmentation Using Structure-Aligned Planar Contours	phd2016Michelle	Washington University in St. Louis	"Segmentation of 3D/4D biological images is a critical step for a wide range of applications such as treatment planning,  quantitative analysis,  virtual simulations,  and rendering visualizations. Automatic segmentation methods are becoming more reliable,  but many experts still rely on manual intervention which makes segmentation a time and resource intensive bottleneck. Marking boundary contours in 3D images can be difficult when images are often noisy or the delineation of biological tissue is unclear. Non-parallel contours can be more accurate and reduce the amount of marking necessary,  but require extra effort to ensure boundary consistency and maintain spatial orientation. This dissertation focuses three problems that pertain to drawing non-parallel contour networks and generating a segmentation surface from those networks.First a guided structure-aligned segmentation system is detailed that utilizes prior structure knowledge from past segmentations of similar data. It employs a contouring protocol to aid in navigating the volume data and support using arbitrarily-oriented contouring planes placed to capture or follow the global structure shape. A user study is provided to test how well novices perform segmentation using this system. The following two problems then aim to improve different aspects of this system. A new deformation approach to reconstruction is discussed which deforms previous segmentation meshes to fit protocol drawn contours from new data instances in order to obtain accurate segmentations that have the correct topology and general shape and preserves fine details. The focus is on the problem of finding a correspondence between a mesh and a set of contours describing a similar shape. And finally,  a new robust algorithm that resolves inconsistencies in contour networks is detailed. Inconsistent contours are faster and less demanding to draw,  and they allow the segmenter to focus on drawing boundaries and not maintaining consistency. However,  inconsistency is detrimental to most reconstruction algorithms,  so the network must be fixed as a post process after drawing., "		http://cindygr.github.io/files/.pdf	Michelle Vaughan Holloway	
6/2018	Developing a 2D Cross-section Training Strategy for 3D Volume Segmentation by Analyzing Human Perception and Cognitive Tasks	phd2018Anahita	Oregon State University	"3D volume segmentation is a fundamental process in many scientific and medical applications. Producing accurate segmentations,  in an efficient way,  is challenging,  in part due to low imaging data quality (e.g.,  noise and low image resolution),  and ambiguity in the data that can only be resolved with higher-level knowledge of the structure. Automatic algorithms do exist,  but there are many use cases where they fail. The gold standard is still manual segmentation or review. Unfortunately,  even for an expert,  manual segmentation is laborious,  time consuming,  and prone to errors. Existing 3D segmentation tools are often designed based on the underlying algorithm"		http://cindygr.github.io/files/.pdf	Anahita Sanandaji	
6/2011	Results of an observational study on sketching	tech201157	Washington University in St. Louis	"Presented as a poster at <a href=\""http://www.cl.cam.ac.uk/conference/cae-sbim-npar-2011/SBIM/Home\"">Sketch-based interfaces and modeling,  2011</a>. Full images and videos <a href=\""drawing.htm\"">here</a>., We present the results of an observational study on sketching. Artists were asked to sketch a smallnumber of objects and comment on how and why they made the marks they did. We summarize these findings, from low-level details on individual marks through the drawing construction order. Based on these observationswe provide suggestions for future research directions in 3D sketching, Sketching,  user study, https://openscholarship.wustl.edu/cse_research/62/, "		http://cindygr.github.io/files/.pdf	Cindy Grimm	
12/2005	Interactive Manipulation of 3D Scene Projections	tech200513	Washington University in St. Louis	"Published in  Graphite 2005 as 3D Screen Space Widgets, Linear perspective is a good approximation to the format in which the human visual system conveys 3D scene information to the brain. Artists expressing 3D scenes,  however,  create nonlinear projections that balance their linear perspective view of a scene with elements of aesthetic style,  layout and relative importance of scene objects. Manipulating the many parameters of a linear perspective camera to achieve a desired view is not easy. Controlling and combining multiple such cameras to specify a nonlinear projection is an even more cumbersome task. This paper presents a direct interface,  where an artist manipulates in 2D the desired projection of a few features of the 3D scene. The features represent a rich set of constraints which define the overall projection of the 3D scene. Desirable properties of local linear perspective and global scene coherence drive a heuristic algorithm that attempts to interactively satisfy the sketched constraints as a weight-averaged projection of a minimal set of linear perspective cameras. This paper shows that 2D feature constraints are a direct and effective approach to control both the 2D layout of scene objects and the conceptually complex,  high dimensional parameter space of nonlinear scene projection. The simplicity of our interface also makes it an appealing alternative to standard through-the-lens and widget based techniques to control a single linear perspective camera., Non-linear projection,  image-space camera control, https://openscholarship.wustl.edu/cse_research/930/, "		http://cindygr.github.io/files/.pdf	Patrick Coleman and Leon Barrett and Cindy Grimm and Karan Singh	
9/2004	Intuitive tools for camera manipulation	tech200484	Washington University in St. Louis	"This was published as the CubeCam in Computational Aethetics, 2009, We present an image-space camera manipulation widget that supports visualization of the relationship of the camera with respect to the scene. The form of the widget presents the user with natural affordances for camera manipulation. Visual aids such as ghosting of the scene and preview animations are used to acquaint novice users with the functions of different parts of the widget. Mouse gestures are used to transition between different perspective views of the scene in an intuitive way. Finally,  we provide a novel method for visualizing camera bookmarks., Non-linear projection,  image-space camera control, https://openscholarship.wustl.edu/cse_research/1055/, "		http://cindygr.github.io/files/.pdf	Nisha Sudarsanam and Cindy Grimm and Karan Singh	
10/2004	Towards a Perception Based image editing System	tech200465	Washington University in St. Louis	"The details on the DKL model,  which represents opponent cell responses., The primary goal of this research is to develop a perception based image editing system. The input to this system will be either a rendered image,  a photograph,  or a high dynamic range image. We are currently developing techniques that allow the user to edit these images in a perceptually intuitive manner. Specifically we are considering the following image editing features:, Perception,  color models, https://openscholarship.wustl.edu/cse_research/1034/, "		http://cindygr.github.io/files/.pdf	Reynold Bailey and Raquel Bujans and Cindy Grimm	
6/2004	The IBar: A Perspective-based Camera Widget	tech200432	Washington University in St. Louis	"The overview of this can be found in the UIST paper,  the implementation details in the Journal of Graphics Tools version.  <a href=\""./IBar\"">Source code</a> and more implementation details., We present a new widget,  the IBar,  for controlling all aspects of a perspective camera. This widget provides an intuitive interface for controlling the perspective distortion in the scene by providing single handles that manipulate one or more projection parameters simultaneously (e.g.,  distanceto- object and lens aperture) in order to create a single perceived projection change (increasing the perspective distortion without changing the scene size). We demonstrate that novice users more easily learn how to manipulate the camera using the IBar., Camera control, https://openscholarship.wustl.edu/cse_research/1005/, "		http://cindygr.github.io/files/.pdf	Cindy Grimm and Karan Singh and Nisha Sudarsanam	
9/2004	Improved Curvature Estimation on Triangular Meshes	tech20049	Washington University in St. Louis	"Published as Estimating Curvature for Triangular meshes in International Journal of Shape Modeling,  12(1): 1-29, 2006, This paper takes a systematic look at calculating the curvature of surfaces represented by triangular meshes. We have developed a suite of test cases for assessing the sensitivity of curvature calculations,  to noise,  mesh resolution,  and mesh regularity. These tests are applied to existing discrete curvature approximation techniques and three common surface fitting methods (polynomials,  radial basis functions and conics). We also introduce a modification to the standard parameterization technique. Finally,  we examine the behaviour of the curvature calculation techniques in the context of segmentation., Curvature calculation on meshes, https://openscholarship.wustl.edu/cse_research/1056/, "		http://cindygr.github.io/files/.pdf	Tim Gatzke and Cindy Grimm	
0/2003	Using Texture Synthesis for Non-Photorealistic Shading from Paint Samples	tech200354	Washington University in St. Louis	"This was published in Pacific Graphics 2003. This paper is slightly longer and includes better comparisons of the techniques., This paper presents several methods for shading meshes from scanned paint samples that represent dark to light transitions. Our techniques emphasize artistic control of brush stroke texture and color. We first demonstrate how the texture of the paint sample can be separated from its color gradient. We demonstrate three methods,  two real-time and one off-line for producing rendered,  shaded images from the texture samples. All three techniques use texture synthesis to generate additional paint samples. Finally,  we develop metrics for evaluating how well each method achieves our goal in terms of texture similarity,  shading correctness and temporal coherence., Shading using texture,  texture synthesis, https://openscholarship.wustl.edu/cse_research/1099/, "		http://cindygr.github.io/files/.pdf	Christopher Kulla and James (Jayne) Tucek and Reynold Bailey and Cindy Grimm	
0/2003	Painting Lighting and Viewing Effects	tech200353	Washington University in St. Louis	"Published as Painting Lighting and Viewing Effects,  Grapp 2007, We present a system for painting how the appearance of an object changes under different lighting and viewing conditions. The user paints what the object should look like under different lighting conditions (dark,  partially dark,  fully lit,  etc.) and (optionally) different viewing angles. The system renders the object under new lighting conditions and a new viewing angle by combining these paintings. We also provide a technique for constructing texture maps directly from the user’s paintings., Texture mapping using projection,  view-dependent texture maps, https://openscholarship.wustl.edu/cse_research/1098/, "		http://cindygr.github.io/files/.pdf	Cindy Grimm	
12/2003	Picture composition for a robot photographer	tech200352	Washington University in St. Louis	"This is a detailed look at the framing/composition and composition-based navigation system in Lewis the robotic photographer, We explain how to use simple composition rules to drive an automated,  mobile photography system. The composition rules are used to determine both the location for a good photograph,  and how to frame that photograph. We describe the composition component in the context of a larger application,  a robotic photographer. The robot moves around an area with people in it,  opportunistically looking for faces and taking photographs. We describe both how to find faces in the world and how to create “good” photographs of those faces., Composition, https://openscholarship.wustl.edu/cse_research/1097/, "		http://cindygr.github.io/files/.pdf	Michael Dixon and Cindy Grimm and William Smart	
1/2002	View-dependent Texture Maps	tech200210	Washington University in St. Louis	"Published as Painting Lighting and Viewing Effects,  Grapp 2007, We present a technique for adding view-dependent information to geometry,  allowing us to write down,  for each point on the surface,  what the surface looks like from every direction. This data structure allows the incorporation of \""image-based\"" objects into ordinary rendering,  allows broader viewing conditions for image-based objects (one can look at a torus from \""inside the hole, \"" for example),  and provides opportunities for compression of image-based objects and for separate interpolation of intensity and color data for image-based objects. We based our work on a surface representation that supports models of arbitrary topology,  and discuss various methods for capturing,  representing,  and compressing the view-dependent information."		http://cindygr.github.io/files/.pdf	No presentation	
11/2002	Creating View-dependent texture maps	tech20029	Washington University in St. Louis	"Published as Painting Lighting and Viewing Effects,  Grapp 2007, We present a technique for blending multiple images of an object into a single,  view-dependent texture map for that object. This technique can be used for image-based rendering,  when the object is known,  or for \""painting\"" a view-dependent texture map of an object. The technique provides a structured mechanism for combining images at different resolutions,  producing a mip-map like structure with the different levels constructed from different images. The user controls the camera angles for which a given image is valid. The problem of gaps caused by self-occlusion and non-overlapping images is also dealt with. This technique is also suitable for use on an object that will be animated., View-dependent texture maps, https://openscholarship.wustl.edu/cse_research/1165/, "		http://cindygr.github.io/files/.pdf	Cindy Grimm and Michael Kowalski	
1/2006	Smooth Surface Reconstruction usingCharts for Medical Data	tech200629	Washington University in St. Louis	"Published in the Visual Computer,  2009 as Adaptive Smooth Surface Fitting with Manifolds, We present a surface reconstruction technique that constructs a smooth,  Ck,  analytic surface from scattered data.The technique is robust to noise and both poorly and non-uniformly sampled data,  making it well-suited for usein medical applications. In addition,  the surface can be parameterized in multiple ways,  making it possible torepresent additional data,  such as electromagnetic potential,  in a different (but related) coordinate system to thegeometric one. The parameterization technique also supports consistent parameterizations of multiple data sets., Surface reconstruction,  manifolds"		http://cindygr.github.io/files/.pdf	Cindy Grimm and Tao Ju	
5/2006	Smooth Key-framing using the Image Plane	tech200628	Washington University in St. Louis	"Published in Graphite, 2005, This paper demonstrates the use of image-space constraints for key frame interpolation. Interpolating in image-space results in sequences with predictable and controlable image trajectories and projected size for selected objects,  particularly in cases where the desired center of rotation isnot fixed or when the key frames contain perspective distortion changes. Additionally,  we provide the user with direct image-space control over how the key frames are interpolated by allowingthem to directly edit the object’s projected size and trajectory.Image-space key frame interpolation requires solving the inverse camera problem over a sequence of point constraints. This is a variation of the standard camera pose problem,  with theadditional constraint that the sequence be visually smooth. We use image-space camera interpolation to globally control the projection,  and traditional camera interpolation locally to avoid smoothness problems. We compare and contrast three different constraint-solving systems in terms of accuracy,  speed,  and stability. The first approach was originally developed to solve thisproblem [Gleicher and Witken 1992]; we extend it to include internal camera parameter changes.The second approach uses a standard single-frame solver. The third approach is based on a novel camera formulation and we show that it is particularly suited to solving this problem., Camera interpolation,  image-space constraints,  key-framing"		http://cindygr.github.io/files/.pdf	Leon Barrett and Cindy Grimm	
5/2006	Feature Detection using Curvature Maps and the Min-Cut/Max-Flow Algorithm	tech200622	Washington University in St. Louis	"A longer version of the <a href=\""./papers/gmp2006fd/gmp2006fd.pdf\"">short paper</a>  in <a href=\""https://www.springer.com/us/book/9783540367116\""> GMP 2006</a>., Automatic detection of features in three-dimensional objects is a criticalpart of shape matching tasks such as object registration and recognition. Previousapproaches to local surface matching have either focused on man-made objects, where features are generally well-defined,  or required some type of userinteraction to select features. Manual selection of corresponding features andsubjective determination of the difference between objects are time consumingprocesses requiring a high level of expertise. Curvature is a useful property of asurface,  but curvature calculation on a discrete mesh is often noisy and not alwaysaccurate. However,  the Curvature Map,  which represents shape information for apoint and its surrounding region,  is robust with respect to grid resolution and meshregularity. It can be used as a measure of local surface similarity. We use thesecurvature map properties to extract features and segment the surface accordingly.Although thresholding techniques can be used to generate reasonable features,  thechoice of a threshold is very subjective and the results may be very sensitive tothis choice. To avoid the threshold dilemma and to make the selection of the featureregion less subjective,  we employ a min-cut/max-flow graph cut algorithm, with vertex weights derived from the curvature map property. A multi-scale approachis used to minimize the dependence on user defined parameters. We showthat by combining curvature maps and graph cuts in a multi-scale framework,  wecan extract meaningful features in a robust way."		http://cindygr.github.io/files/.pdf	Timothy Gatzke and Cindy Grimm	
4/2006	The Real Effect of Warm-Cool Colors	tech200617	Washington University in St. Louis	"A longer version of the <a href=\""./papers/apgv2006wc/apgv2006wc.pdf\"">poster</a> abstract for <a href=\""http://www.apgv.org/\"">APGV 2006</a>, The phenomenon of warmer colors appearing nearer in depth toviewers than cooler colors has been studied extensively by psychologistsand other vision researchers. The vast majority of thesestudies have asked human observers to view physically equidistant, colored stimuli and compare them for relative depth. However,  inmost cases,  the stimuli presented were rather simple: straight coloredlines,  uniform color patches,  point light sources,  or symmetricalobjects with uniform shading. Additionally,  the colors usedwere typically highly saturated. Although such stimuli are usefulin isolating and studying depth cues in certain contexts,  theyleave open the question of whether the human visual system operatessimilarly for realistic objects. This paper presents the results ofan experiment designed to explore the color-depth relationship forrealistic,  colored objects with varying shading and contours., Warm cool colors"		http://cindygr.github.io/files/.pdf	Reynold Bailey and Cindy Grimm and Christopher Davoli	
3/2006	Perceptually Meaningful Image Editing: Depth	tech200611	Washington University in St. Louis	"Published in the Visual Computer, 2009, We introduce the concept of perceptually meaningful image editing and present two techniques for manipulatingthe apparent depth of objects in an image. The user loads an image,  selects an object and specifies whether theobject should appear closer or further away. The system automatically determines target values for the objectand/or background that achieve the desired depth change. These depth editing operations,  based on techniquesused by traditional artists,  manipulate either the luminance or color temperature of different regions of the image.By performing blending in the gradient domain and reconstruction with a Poisson solver,  the appearance offalse edges is minimized. The results of a preliminary user study,  designed to evaluate the effectiveness of thesetechniques,  are also presented., Image processing,  depth editing,  contrast"		http://cindygr.github.io/files/.pdf	Reynold Bailey and Cindy Grimm	
