pub_date	title	url_slug	venue	excerpt	url	paper_url	citation	slides_url
6/2003	A 3D Pattern for Pose Estimation for Object Capture	vi20033Dp	Vision Interface	"A 3D camera calibration pattern, We describe a new pose estimation approach for a 3D object capture system. This 3D pose estimation approach offers several advantages: increased visibility,  robustness to lighting conditions,  and improved reliability with evenly distributed errors. The calibration pattern is built using 3D conic features. We use simplex search to find the camera position and orientations that minimizes the error between the projected 3D cone features and the corresponding 2D image features. We demonstrate that our approach is accurate,  efficient and robust.  Camera tracking,  sketching,  3D input device, "		http://cindygr.github.io/files/vi20033Dp.pdf	Lei Wang and Cindy Grimm and Robert Pless	
8/2002	Contact Areas and Ligament Lengths are Abnormal in Patients with Malunited Distal Radius Fracture Despite Normal Radioulnar Kinematics	wcb2002ca	World Congress Biomechanics	"First draft of the IEEE paper. Altered kinematics of the distal radioulnar joint (DRUJ) and/or bone impingement are considered causes of long-term complications associated with malunited distal radius fractures. However,  a  CT image-based in vivo study of patients with malunited distal radius fractures found that malunion did not alter forearm kinematics and that limitations of pronosupination were not caused by bony impingement (Moore et al.  . In this study,  data from the previous study was reanalyzed to explore focal changes in the articulation at the DRUJ (location and area of bone contact) and potential soft tissue constraints (\\\length\\\ of the dorsal and palmar radioulnar ligaments).  , "		http://cindygr.github.io/files/wcb2002ca.pdf	G. Elisabeta Marai and David H. Laidlaw and Cagatay Demiralp and Cindy Grimm and Joseph J. Crisco and Douglas Moore and E. Akelman	
5/2002	Simple Manifolds for Surface Modeling and Parameterization	smi2002sm	Shape Modeling International (SMI 2002)	"Spherical,  toroidal,  and cylindrical manifolds, We present a surface modeling technique using manifolds. Our approach uses a single,  simple parameterization for all surfaces of a given genus. This differs from previous approaches which build a parameterization based on the elements of a mesh. The simple parameterization is more appropriate for applications that do complex operations in parameter space or on the mesh surface. We define a manifold and a corresponding embedding function for three genera (plane,  sphere,  and torus). The manifold can be used simply as a parameterization tool or as a smooth surface approximating the original mesh. We demonstrate how to build a correspondence between the mesh and the manifold,  then how to build an embedding that approximates the mesh.  Surface modeling,  parameterization, "	https://ieeexplore.ieee.org/document/1003551	http://cindygr.github.io/files/smi2002sm.pdf	Cindy Grimm	
10/2001	Modeling and Visualization of Inter-Bone Distances in Joints	ieeeVis2001mv	Visualization \01 Work in Progress Proceedings	"Using the smooth manifolds to capture distance calculations, We demonstrate a method for visualizing inter-bone distances in articular joints. Visualization of inter-bone distances has the potential to characterize 3D structures and spatial relations non-invasively in complex joints. Surface fitting,  visualization,  biomedical, "	http://vis.computer.org/vis2001/	http://cindygr.github.io/files/ieeeVis2001mv.pdf	Cagatay Demiralp and Georgeta Marai and Stu Andrews and David Laidlaw and Joseph Crisco and Cindy Grimm	
9/2001	Post-rendering Composition for 3D Scenes	euro2001prc	Eurographics short papers	"Objects have their own cameras and lighting effects, In traditional art a painter displays a 3D scene on a 2D image plane in a manner that is aesthetically pleasing. The arrangement of objects and colors is called composition and is the subject of many art books and classes. While a painter may use perspective to create depth in a scene they may also alter the perspective and color,  either subtly or dramatically,  to influence the focus of viewer and the effect of the image. To date,  traditional 3D graphics packages have largely concentrated on modeling,  textures,  and lighting to create images and provide few tools for altering the composition post-rendering. In this paper we present several simple techniques for creating images with non-standard perspective and color using standard 3D rendering packages. The scene is modeled in 3D but each object has its own camera,  color balance,  and image size,  allowing the user to alter the composition after the 3D rendering step. The purpose of this paper is not to present a complete composition system but rather to illustrate the potential of composition-based tools.  composition,  lighting,  non-linear projection, "	https://www.researchgate.net/publication/251473514_Post-rendering_Composition_for_3D_Scenes	http://cindygr.github.io/files/euro2001prc.pdf	Cindy Grimm	
10/1995	Visual Interfaces for Solids Modeling	uist1995vism	Proceedings of the 8th Annual ACM Symposium on User Interface and Software Technology 	"Widgets for 3D surface editing,  This paper explores the use of visual operators for solids modeling. We focus on designing interfaces for free-form operators such as blends,  sweeps,  and deformations,  because these operators have a large number of interacting parameters whose effects are often determined by an underlying parameterization. In this type of interactive modeling good solutions to the design problem have aesthetic as well as engineering components. Traditionally,  interaction with the parameters of these operators has been through text editors,  curve editors,  or trial-and-error with a slider bar. Parametric values have been estimated from data,  but not interactively. These parameters are usually one- or two-dimensional,  but the operators themselves are intrinsically three-dimensional in that they are used to model surfaces visualized in 3D. The traditional textual style of interaction is tedious and interposes a level of abstraction between the parameters and the resulting surface. A 3D visual interface has the potential to reduce or eliminate these problems by combining parameters and representing them with a higher-level visual tool. The visual tools we present not only speed up the process of determining good parameter values but also provide visual interactions that are either independent of the particular parameterizations or make explicit the effect of the parameterizations. Additionally,  these tools can be manipulated in the same 3D space as the surfaces produced by the operators,  supporting quick,  interactive exploration of the large design space of these free-form operators. This paper discusses the difficulties in creating a coherent user interface for interactive modeling. To this end we present four principles for designing visual operators,  using several free-form visual operators as concrete examples.  3D surface editing,  computer aided geometric design, "	http://doi.acm.org/10.1145/215585.215652	http://cindygr.github.io/files/uist1995vism.pdf	Cindy Grimm and David Pugmire and John Hughes and Mark Bloomenthal and Elaine Cohen	
7/1995	Modeling Surfaces of Arbitrary Topology	sig1995msat	Proceedings of the 22nd Annual Conference on Computer Graphics and Interactive Techniques	"The original manifold-style surface modeling paper, We describe an extension of B-splines to surfaces of arbitrary topology,  including arbitrary boundaries. The technique inherits many of the properties of B-splines: local control,  a compact representation,  and guaranteed continuity of arbitrary degree. The surface is specified using a polyhedral control mesh instead of a rectangular one; the resulting surface approximates the polyhedral mesh much as a B-spline approximates its rectangular control mesh. Like a B-spline,  the surface is a single,  continuous object. This is achieved by modeling the domain of the surface with a manifold whose topology matches that of the polyhedral mesh,  then embedding this domain into 3-space using a basis-function/control-point formulation. We provide a constructive approach to building a manifold.  3D surface modeling and editing, "	http://doi.acm.org/10.1145/218380.218475	http://cindygr.github.io/files/sig1995msat.pdf	Cindy Grimm and John Hughes	
6/1995	Smooth Iso-Surface Approximation	is1995sis	Implicit Surfaces	"Fitting S-patches to implicit surfaces,  We present a method for approximating an isosurface with a smooth parametric representation. From the isosurface we first produce a patch mesh,  a description of how many surface patches there are and how they are connected. We then create a smooth surface from the patch mesh.  3D surface modeling and editing, "	https://www.semanticscholar.org/paper/Smooth-Isosurface-Approximation-Grimm-Hughes/01c3fe344bfd18fa2d26e094eceecc9922c0fb12	http://cindygr.github.io/files/is1995sis.pdf	Cindy Grimm and John Hughes	
6/1998	Implicit Generalized Cylinders using Profile Curves	is1999ig	Implicit Surfaces	"Creating sweep surfaces using sketching, We introduce an implicit generalized cylinder which is constructed from an axis and one or more profile curves. This surface is related to the sweep which is traditionally formed by an axis curve and one or more cross sections. Instead of cross sections,  this definition uses profile curves to define how far the surface is from the axis. This facilitates the construction of surfaces which have continually varying cross sections. We extend this definition to a generalized cylinder with two axis curves. This model is useful for surfaces where one side of the surface curves sharply away from the axis while the axis itself is curving. We also present a user interface for editing these sweeps.  3D surface modeling and editing, "		http://cindygr.github.io/files/is1999ig.pdf	Cindy Grimm and John Hughes	
6/2005	Table-top Computed Lighting for Practical Digital Photography	euro2005tl	Eurographics Symposium on Rendering	"Specifying lighting of real-world objects using a sketching approach. We apply simplified image-based lighting methods to reduce the equipment,  cost,  time,  and specialized skills required for high-quality photographic lighting of desktop-sized static objects such as museum artifacts. We place the object and a computer-steered moving-head spotlight inside a simple foam-core enclosure,  and use a camera to quickly record low-resolution photos as the light scans the box interior. Optimization guided by interactive user sketching selects a small set of frames whose weighted sum best matches the target image. The system then repeats the lighting used in each of these frames,  and constructs a high resolution result from re-photographed basis images. Unlike previous image-based re-lighting efforts,  our method requires only one light source,  yet can achieve high resolution light positioning to avoid multiple sharp shadows. A reduced version uses only a hand-held light,  and may be suitable for battery-powered,  field photography equipment that fits into a backpack.  lighting, "	http://kesen.realtimerendering.com/egsr2005-Changelog.htm	http://cindygr.github.io/files/euro2005tl.pdf	Ankit Mohan and Jack Tumblin and Bobby Bodenheimer and Cindy Grimm and Reynold Bailey	
4/2003	(Not) Interacting with a Robotic Photographer	aaai2003ni	AAAI Spring Symposium	"Interaction observations with Lewis the robot photographer, We have deployed a robot ``photographer\\\\\\ at several events. The robot,  Lewis,  navigates through the space,  opportunistically taking photographs of people. We summarize the different types of human-robot interactions we have observed at these events,  and put forth some possible explanations for the different behaviors. We also discuss potential models for human-robot interactions in this constrained setting.  Human-computer interaction,  robotics,  path planning, "	https://aaai.org/Symposia/Spring/sss03.php	http://cindygr.github.io/files/aaai2003ni.pdf	William Smart and Cindy Grimm	
7/2006	Feature Detection Using Curvature Maps and the Min-Cut/Max-Flow Algorithm	gmp2006fd	Geometric Modeling and processing	"Feature detection. A longer version can be found <a href=\""http://www.cse.seas.wustl.edu/techreportfiles/getreport.asp?510\"">here</a>. Automatic detection of features in three-dimensional objects is a criticalpart of shape matching tasks such as object registration and recognition. Previousapproaches often required some type of user interaction to select features.Manual selection of corresponding features and subjective determination of thedifference between objects are time consuming processes requiring a high levelof expertise. The Curvature Map represents shape information for a point and itssurrounding region and is robust with respect to grid resolution and mesh regularity.It can be used as a measure of local surface similarity.We use these curvaturemap properties to extract feature regions of an object. To make the selection of thefeature region less subjective,  we employ a min-cut/max-flow graph cut algorithmwith vertex weights derived from the curvature map property. A multi-scale approachis used to minimize the dependence on user defined parameters. We showthat by combining curvature maps and graph cuts in a multi-scale framework,  wecan extract meaningful features in a robust way. Feature detection,  min-cut max-flow, "	http://www.andrew.cmu.edu/org/GMP2006/	http://cindygr.github.io/files/gmp2006fd.pdf	Timothy Gatzke and Cindy Grimm	
7/2006	The Effect of Warm and Cool Object Colors on Depth Ordering	apgv2006wc	Symposium on Applied Perception in Graphics and Visualization	"A study on the effect of color on depth. A longer version can be found <a href=\""https://openscholarship.wustl.edu/cse_research/166/\"">here</a>. Colors that appear closer to the red end of the visible spectrum are said to be warm while the colors that appear closer to the blue end are said to be cool. The phenomenon of warmer colors appearing nearer in depth to viewers than cooler colors has been studied extensively by psychologists and other vision researchers (see [Sundet 1978] for a summary). The vast majority of these studies have asked human observers to view physically equidistant,  colored stimuli and compare them for relative depth. However,  in most cases,  the stimuli presented were rather simple: straight colored lines,  uniformcolor patches,  point light sources,  or symmetrical objects with uniformshading. Additionally,  the colors used were typically highly saturated. Although such stimuli are useful in isolating and studying depth cues in certain contexts,  they leave open the question of whether the human visual system operates similarly for realistic objects.This paper presents the results of an experiment designed to explore the color-depth relationship for realistic,  colored objects with varying shading and contours. Warm cool,  depth, "	http://doi.acm.org/10.1145/1140491.1140538	http://cindygr.github.io/files/apgv2006wc.pdf	Reynold Bailey and Cindy Grimm and Christopher Davoli	
9/2006	Sketching Reaction-Diffusion Texture	sbim2006rd	Proceedings of the Third Eurographics Conference on Sketch-Based Interfaces and Modeling	"Using machine learning to make reaction-diffusion usable. In this work,  we present an interactive interface for sketching synthesized textures. Reaction-Diffusion (RD) is used as the basis for texture synthesis. RD allows an unlimited amount of non-repeating texture and offers great flexibility for mapping textures to arbitrary surfaces. However,  it can be difficult to find starting values of parameters that will produce interesting patterns. We use machine learning to resolve the difficulty of determining appropriate initial values of the RD system. The system described here allows a user to sketch a pattern of spots or stripes with arbitrary orientations,  and then automatically generates a pattern with the same attributes as the sketch. It also allows the user to interactively create more complex textures by adding another layer of pattern,  as well as manipulate the color of the resulting texture. We also show that this procedure can be applied to realistic 3D surfaces. Creating Reaction Diffusion,  textures,  sketching, "	https://dl.acm.org/citation.cfm?id=2386292	http://cindygr.github.io/files/sbim2006rd.pdf	Ly Phan and Cindy Grimm	
3/2007	Non-Photorealistic Rendering of Algorithmically Generated Trees	grapp2007npt	Proceedings of the Second International Conference on Computer Graphics Theory and Applications 	"Nathan\s master\s thesis.  This paper presents a novel rendering technique inspired by artistic approaches. Instead of trying to recreate a traditional medium,  such as charcoal or watercolor,  this approach is a mixture of both photo-realism and abstraction. Artists use a process of abstraction to provide structural information about subjects that do not have clearly defined shapes,  such as groups of leaves in a tree. For example,  an artist will use a color wash to first approximate a group of leaves. They then add detail on top of parts of this wash to indicate the presence of individual leaves. Similarly,  we use an abstract shape that approximates the image of leaves clustered at the end of a branch. To prevent oversimplification,  we add photo-realistic detail using a blending process. Interframe coherence is achieved both by smoothly interpolating the abstract shapes,  and the continuity inherent inthe photo-realistically rendered detail. Non-photorealistic rendering,  abstractionism,  tree rendering, "		http://cindygr.github.io/files/grapp2007npt.pdf	Nathan Dudley and Cindy Grimm	
3/2007	Painting Lighting and Viewing Effects	grapp2007vdp	2nd International Conference on Computer Graphics Theory and Applications	"Combines the previous several tech reports and poster presentation at Graphics Interface 2003 into one paper. We present a system for painting how the appearance of an object changes under different lighting and viewingconditions. The user paints what the object should look like under different lighting conditions (dark,  partiallydark,  fully lit,  etc.),  or different viewing angles,  or both. The system renders the object under new lightingconditions and a new viewing angle by combining these paintings. For surfaces without a pre-defined texturemap the system can construct texture maps directly from the user’s paintings. Texture mapping,  view-dependent painting, "	http://www.grapp.visigrapp.org/GRAPP2007/	http://cindygr.github.io/files/grapp2007vdp.pdf	Cindy Grimm and Michael Kowalski	
4/2008	Improving Search Task Performance using Subtle Gaze Direction	apgv2008gd	Proceedings of the 5th Symposium on Applied Perception in Graphics and Visualization	"A new experiment is presented which demonstrates the usefulness of an image space modulation technique called Subtle Gaze Direction (SGD) for guiding the user in a simple searching task. SGD uses image space modulations in the luminance channel to guide a viewer\s gaze about a scene without interrupting their visual experience. The goal of SGD is to direct a viewer\s gaze to certain regions of a scene without introducing noticeable changes in the image. Using a simple searching task we compared performance using no modulation,  using subtle modulation and using obvious modulation. Results from the experiments show improved performance when using subtle gaze direction,  without affecting the user\s perception of the image. Results establish the potential of the method for a wide range of applications including gaming,  perceptually based rendering,  navigation in virtual environments and medical search tasks. eye-tracking,  gaze direction,  luminance,  psychophysics, "	http://doi.acm.org/10.1145/1394281.1394289	http://cindygr.github.io/files/apgv2008gd.pdf	Reynold Bailey and Ann McNamara and Cindy Grimm	
7/2008	Non-linear Perspective Widgets for Creating Multiple-View Images	npar2008np	Proceedings of the 6th International Symposium on Non-photorealistic Animation and Rendering	"This is the paper version of the tech report. The full details can be found in Nisha\s thesis. Viewing data sampled on complicated geometry,  such as a helix or atorus,  is hard because a single camera view can only encompass a partof the object. Either multiple views or non-linear projection can beused to expose more of the object in a single view,  however, specifying such views is challenging because of the large number ofparameters involved.  We show that a small set of versatile widgetscan be used to quickly and simply specify a wide variety of suchviews. These widgets are built on top of a general framework that inturn encapsulates a variety of complicated camera placement issuesinto a more natural set of parameters,  making the specification of newwidgets,  or combining multiple widgets,  simpler. This framework isentirely view-based and leaves intact the underlying geometry of thedataset,  making it applicable to a wide range of data types. Non-linear perspective,  user interfaces,  visualization,  camera control,  rendering, "	http://doi.acm.org/10.1145/1377980.1377995	http://cindygr.github.io/files/npar2008np.pdf	Nisha Sudarsanam and Karan Singh and Cindy Grimm	
11/2011	Bioinspiration from Biodiversity in Sensor Design	asme2011bio	ASME 2001 International Mechanical Engineering Congress and Exposition	"Biological systems are organized along a hierarchy that ranges from bio-molecules to large-scale ecosystems. In the present work,  the level of biodiversity is considered as a source for engineering knowledge. In the process of evolution and adaptive radiation in particular,  common functional principles have been adapted to suit a multitude of tasks and constraints. The resulting biodiversity can hence be regarded as a source for inspiration on how a single functional principle can be adapted to suit the requirements of different applications. The biosonar systems of bats are an example for a biological sensing principle that has been adjusted to fit a multitude of sensing tasks. The unique combination of biosonar sensing and flight has allowed bats to settle almost the entire land surface of the earth and exploit a wide range of food sources that range from airborne insect prey to terrestrial vertebrates. The geometries of the mechanical baffles that surround the sides of sound emission and reception are a conspicuous correlate of this diversification in the uses of biosonar. Understand the principles that underlie this diversification,  requires an array of customized methods: First,  objective and quantitative descriptions are needed for the biological variation in irregular,  organic shapes at an inter-specific level. Second,  functional features of the sensors must be characterized in a similar fashion. Finally,  a link between form and function needs to be established. A description of the biodiversity in shape requires some form of registration between shapes from different species. For the outer ears of bats,  this problem has been addressed by virtue of an ad-hoc method that represents the ears in cylindrical coordinates with a reference frame that is fixed through a potential field in analogy to the interactions between molecules. An alternative method that is likely to generalize to more difficult geometries such as the noseleaves of bats can be based on modal analysis. In the process of \""spectral embedding\"" the location of pinna surfaces is expressed in a space that is spanned by the amplitudes of different modes at the respective positions. For the acoustic function of diffracting baffles local features such as grooves and ridges can be of prime importance. These are not easily captured by methods that are more likely to provide robust estimates of variability in a sample at low spatial frequencies. Hence,  local shape descriptors capable of quantifying these features are needed. sonar,  local shape,  pca,  shape space, "	http://www.asmeconferences.org/Congress2011/index.cfm	http://cindygr.github.io/files/asme2011bio.pdf	Rolf Mueller and Jianguo Ma and Zhen Yan and Washington Mio and Cindy Grimm	
4/2011	"Local Shape Descriptors,  A Survey and Evaluation"	egor2011lsd	Proceedings of the 4th Eurographics Conference on 3D Object Retrieval	"Sourcecode available at <a ref=\""http://sourceforge.net/projects/meshprocessing/\"">Sourceforge</a>, Local shape descriptors can be used for a variety of tasks,  from registration to comparison to shape analysis and retrieval. There have been a variety of local shape descriptors developed for these tasks,  which have been evaluated in isolation or in pairs,  but not against each other. We provide a survey of existing descriptors and a framework for comparing them. We perform a detailed evaluation of the descriptors using real data sets from a variety of sources. We first evaluate how stable these metrics are under changes in mesh resolution,  noise,  and smoothing. We then analyze the discriminatory ability of the descriptors for the task of shape matching. Our conclusion is that sampling the normal distribution and the mean curvature,  using 25 samples,  and reducing this data to 5-10 samples via Principal Components Analysis provides robustness to noise and the best shape discrimination results.  Local shape descriptors,  spin images,  heat map,  curvature,  shape matching,  feature matching, "		http://cindygr.github.io/files/egor2011lsd.pdf	Paul Heider and Alain Pierre-Pierre and Ruosi Li and Cindy Grimm	
4/2011	Refining Shape Correspondence for Similar Objects using Strain	egor2011sr	Proceedings of the 4th Eurographics Conference on 3D Object Retrieval	"An iterative implicit,  matrix solve of Andy\s journal of biomedical engineering paper, We propose the adaptation of mechanical strain to the problem of measuring similarity between non-rigid shapes and constructing shape correspondence. In the mechanics literature,  strain is a well-established technique for studying how a body deforms. The traditional de?nition applies to an n-D material embedded in n-D. In this paper,  we demonstrate how to de?ne strain for a 2D surface (either analytical or discrete,  i.e.  a mesh) embedded in 3D. We then demonstrate adjusting the correspondence between two surfaces so that the strain is evenly distributed across the surface.  shape matching,  correspondence, "	http://dx.doi.org/10.2312/3DOR/3DOR11/017-024	http://cindygr.github.io/files/egor2011sr.pdf	Ly Phan and Andrew Knutsen and Philip Bayly and Sandra Rugonyi and Cindy Grimm	
9/2010	Polygonizing Extremal Surfaces with Manifold Guarantees	spm2010pe	Proceedings of the 14th ACM Symposium on Solid and Physical Modeling	"Moving least squares surfaces for surfaces with boundaries, Extremal surfaces are a class of implicit surfaces that have been found useful in a variety of geometry reconstruction applications. Compared to iso-surfaces,  extremal surfaces are particularly challenging to construct in part due to the presence of boundaries and the lack of a consistent orientation. We present a novel,  grid-based algorithm for constructing polygonal approximations of extremal surfaces that may be open or unorientable. The algorithm is simple to implement and applicable to both uniform and adaptive grid structures. More importantly,  the resulting discrete surface preserves the structural property of the extremal surface in a grid-independent manner. The algorithm is applied to extract ridge surfaces from intensity volumes and reconstruct surfaces from point sets with unoriented normals. Implicit surface,  moving least squares,  reconstruction from point sets, "	http://doi.acm.org/10.1145/1839778.1839808	http://cindygr.github.io/files/spm2010pe.pdf	Ruosi Li and Liu Lu and Sasakthi Abeysinghe and Ly Phan and Cindy Grimm and Tao Ju	
8/2009	Editing Level-Set Models with Sketched Curves	sbim2009ls	Proceedings of the 6th Eurographics Symposium on Sketch-Based Interfaces and Modeling	"Using level sets to evolve surfaces, Level set models are deformable implicit surfaces where the deformation is controlled by a speed function in the level set partial differential equation (PDE). These models are widely used in computer graphics applications due to their implicit de?nition,  low-level volumetric representation and the powerful numerical techniques used to produce the PDE-based deformation. We present a set of interactive sketch-based level-set surface editing operators. These operators allow a user to sketch curves above or on a level-set surface in order to edit the surface?s shape. Once the curves are sketched the surface interactively evolves to locally ?t to the curves. A user may then modify the curves in order to re?ne the shape of the model. The mathematics,  algorithms and techniques needed to implement numerous sketch-based level set modeling capabilities are described. The speed functions that produce the surface deformations within the context of solving the level-set PDE are detailed. Several examples are presented to demonstrate the ?exibility and usefulness of the editing operators.  Sketching,  level-sets,  surface editing, "	http://doi.acm.org/10.1145/1572741.1572750	http://cindygr.github.io/files/sbim2009ls.pdf	Manolya Eyiyurekli and Cindy Grimm and David Breen	
